trait_name,temp,trait,error_pos,error_neg,error_unit,trait_def,trait2_name,trait2,genus,species,citation,doi,data_source,notes,type
a,18,0.04,51,4,min/max,days between consecutive blood meals,meal count,1-2,Aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 2,n=25; converted from genotrophic cycle duration,Arctic
a,18,0.07142857142857142,31,7,min/max,days between consecutive blood meals,meal count,2-3,Aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 2,n=18; converted from genotrophic cycle duration,Arctic
a,18,0.05555555555555555,74,5,min/max,days between consecutive blood meals,meal count,3-4,Aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 2,n=15; converted from genotrophic cycle duration,Arctic
a,18,0.07692307692307693,35,5,min/max,days between consecutive blood meals,meal count,4-5,Aedes,cinereus,sommerman_1969_MosqNews,10.5555/19711000494,table 2,n=12; converted from genotrophic cycle duration,Arctic
a,18,0.058823529411764705,35,4,min/max,days between consecutive blood meals,meal count,1-2,Aedes,communis,sommerman_1969_MosqNews,10.5555/19711000494,table 2,n=19; converted from genotrophic cycle duration,Arctic
a,18,0.09090909090909091,22,2,min/max,days between consecutive blood meals,meal count,2-3,Aedes,communis,sommerman_1969_MosqNews,10.5555/19711000494,table 2,n=9; converted from genotrophic cycle duration,Arctic
a,18,0.1111111111111111,10,8,min/max,days between consecutive blood meals,meal count,3-4,Aedes,communis,sommerman_1969_MosqNews,10.5555/19711000494,table 2,n=25; converted from genotrophic cycle duration,Arctic
a,18,0.05,62,4,min/max,days between consecutive blood meals,meal count,1-2,Aedes,impiger,sommerman_1969_MosqNews,10.5555/19711000494,table 2,n=26; converted from genotrophic cycle duration,Arctic
a,18,0.07692307692307693,46,2,min/max,days between consecutive blood meals,meal count,2-3,Aedes,impiger,sommerman_1969_MosqNews,10.5555/19711000494,table 2,n=15; converted from genotrophic cycle duration,Arctic
a,18,0.1,19,2,min/max,days between consecutive blood meals,meal count,3-4,Aedes,impiger,sommerman_1969_MosqNews,10.5555/19711000494,table 2,n=9; converted from genotrophic cycle duration,Arctic
a,18,0.07692307692307693,20,10,min/max,days between consecutive blood meals,meal count,1-2,Aedes,punctor,sommerman_1969_MosqNews,10.5555/19711000494,table 2,n=15; converted from genotrophic cycle duration,Arctic
a,18,0.1,22,2,min/max,days between consecutive blood meals,meal count,2-3,Aedes,punctor,sommerman_1969_MosqNews,10.5555/19711000494,table 2,n=11; converted from genotrophic cycle duration,Arctic
a,18,0.09090909090909091,13,6,min/max,days between consecutive blood meals,meal count,3-4,Aedes,punctor,sommerman_1969_MosqNews,10.5555/19711000494,table 2,n=8; converted from genotrophic cycle duration,Arctic
a,20,0.1234567901234568,NA,NA,NA,mean duration of gonotrophic cycle,NA,NA,Aedes,albopictus,Delatte et al. 2009. Influence of temperature on immature development survival longevity fecundity and gonotrophic cycles of Aedes albopictus vector of chikungunya and dengue in the Indian Ocean. J Med Entomol. 46: 33-41.,10.1603/033.046.0105,table 5,converted from genotrophic cycle duration,non-Arctic
a,25,0.2222222222222222,NA,NA,NA,mean duration of gonotrophic cycle,NA,NA,Aedes,albopictus,Delatte et al. 2009. Influence of temperature on immature development survival longevity fecundity and gonotrophic cycles of Aedes albopictus vector of chikungunya and dengue in the Indian Ocean. J Med Entomol. 46: 33-41.,10.1603/033.046.0105,table 5,converted from genotrophic cycle duration,non-Arctic
a,30,0.2857142857142857,NA,NA,NA,mean duration of gonotrophic cycle,NA,NA,Aedes,albopictus,Delatte et al. 2009. Influence of temperature on immature development survival longevity fecundity and gonotrophic cycles of Aedes albopictus vector of chikungunya and dengue in the Indian Ocean. J Med Entomol. 46: 33-41.,10.1603/033.046.0105,table 5,converted from genotrophic cycle duration,non-Arctic
a,35,0.22727272727272727,NA,NA,NA,mean duration of gonotrophic cycle,NA,NA,Aedes,albopictus,Delatte et al. 2009. Influence of temperature on immature development survival longevity fecundity and gonotrophic cycles of Aedes albopictus vector of chikungunya and dengue in the Indian Ocean. J Med Entomol. 46: 33-41.,10.1603/033.046.0105,table 5,converted from genotrophic cycle duration,non-Arctic
a,25,0.2631578947368421,0.1,0.1,se,mean duration of gonotrophic cycle,NA,NA,Aedes,albopictus,Marini et al. 2020. Influence of temperature on the life-cycle dynamics of Aedes albopictus population established at temperate latitudes: A laboratory experiment. Insects. 11: 1-17.,10.3390/insects11110808,table 4,cow blood was offered twice a week to each female via Hemotek; converted from genotrophic cycle duration,non-Arctic
a,30,0.30303030303030304,0.1,0.1,se,mean duration of gonotrophic cycle,NA,NA,Aedes,albopictus,Marini et al. 2020. Influence of temperature on the life-cycle dynamics of Aedes albopictus population established at temperate latitudes: A laboratory experiment. Insects. 11: 1-17.,10.3390/insects11110808,table 4,cow blood was offered twice a week to each female via Hemotek; converted from genotrophic cycle duration,non-Arctic
